ticket_id,created_at,customer_name,plan,subject,body,category,priority,resolution,resolved_at,suspect_by_llm,suspect_category,suspect_priority,suspect_confidence,suspect_reason,llm_model
TK-0001,2024-06-01T23:54:35Z,Sapphire Data,Enterprise,HubSpot contact sync has data mapping errors,"Contacts synced from HubSpot are showing up with first and last names swapped. Also, the company field is mapping to the phone number field. This is messing up our CRM view. We've checked the field mapping in settings and it looks correct on our end.",integration,medium,The HubSpot API changed their field key format in their latest update (firstname → first_name). Our mapping was using the old keys. Updated the field mapping configuration and added a validation layer for HubSpot API schema changes. Triggered a resync to correct the swapped fields.,2024-06-02T14:55:13.135632Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0005,2024-06-08T21:57:19Z,Palladium Ventures,Enterprise,Search results include deleted items,"When I search for contacts in the CRM module, I'm seeing contacts that were deleted weeks ago. They show up in search results but clicking on them gives a 404 error. This is confusing for our sales team who think these are active leads.",bug,low,The search index wasn't being updated on soft-delete operations. The Elasticsearch index still contained documents with deleted_at timestamps. Ran a reindex job and added a filter to exclude soft-deleted records. Search results now clean.,2024-06-10T04:32:12.184731Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0007,2024-06-09T07:03:57Z,NovaTech Solutions,Starter,Dashboard takes 45+ seconds to load,"Our main dashboard has become extremely slow. It's taking over 45 seconds to load, sometimes timing out completely. This started about a week ago. We have a lot of data (50,000+ tasks, 200 users) but it was fine before. Is something wrong on your end?",performance,high,"Investigated and found the customer's dashboard had 12 widgets, several with unindexed custom field filters. Two issues: 1) A database query was doing a full table scan (added index on custom_field_values), 2) Widget data wasn't being cached. Added Redis caching for dashboard widget data (5-min TTL). Load time reduced from 45s to 3s.",2024-06-09T11:23:32.801366Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0721,2025-02-24T04:59:34Z,Helix Biotech,Growth,Calculated fields returning #ERROR,"Custom calculated fields in our project tracker are all showing #ERROR instead of values. These are simple formulas like SUM and AVERAGE across numeric columns. They were working fine until this morning. Affects all projects, not just one.",bug,low,The formula evaluation engine was updated overnight and introduced a type coercion bug — numeric strings weren't being cast before arithmetic. Reverted the engine to the previous version and scheduled a proper fix. All calculated fields restored.,2025-02-25T21:11:56.662554Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0702,2025-02-17T02:07:06Z,NovaTech Solutions,Growth,Transfer account ownership to new admin,Our previous IT admin (jordan.smith@NovaTech Solutions) has left the company. I'm the new admin and need full ownership transferred to me (alex.chen@NovaTech Solutions). Jordan's account should be deactivated. What documentation do you need for this?,account,critical,"Account ownership transfer requires: 1) Written request from a company officer (sent form), 2) Domain verification (confirmed alex.chen@ matches account domain). Transfer completed. Jordan's account deactivated. All API keys regenerated as a security precaution.",2025-02-18T17:54:13.358215Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0259,2024-09-21T09:50:34Z,Cobalt Learning,Enterprise,Google Calendar integration showing duplicate events,Every meeting scheduled in Steadfast is creating two events in Google Calendar. It's been happening for about a week. Deleting one copy deletes both. Our team's calendars are a mess with all these duplicates. We have 50+ meetings a week so this is a significant problem.,integration,high,"Root cause: a retry mechanism in the Google Calendar connector was not checking for idempotency. When the first API call succeeded but timed out, the retry created a duplicate. Added idempotency key to event creation requests. Cleaned up existing duplicates via batch API. Fix deployed in connector v1.9.2.",2024-09-22T02:56:11.062143Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0345,2024-10-18T09:44:30Z,Zenith Marketing,Starter,Best practices for setting up workflows,"We want to use Steadfast's workflow automation but need guidance on best practices. We have about 10 standard processes we want to automate — things like approval chains, task escalation, and notification rules. Where should I start? Any templates available?",onboarding,medium,"Sent our Workflow Best Practices guide (KB-1030). Recommended starting with their simplest process to learn the builder. Shared 5 workflow templates: approval chain, task escalation, SLA notification, onboarding sequence, and review cycle. Key tip: test workflows in their sandbox workspace first. Offered a workflow design session.",2024-10-19T14:10:58.855638Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0597,2025-01-10T13:49:22Z,Polaris Navigation,Growth,Can't export reports to PDF anymore,"The PDF export feature on the reports page stopped working about a week ago. When I click 'Export to PDF' nothing happens — no download, no error message. I've tried Chrome and Firefox. Other export formats (CSV, XLSX) work fine. This was working before.",bug,high,Root cause: the PDF rendering service (wkhtmltopdf) was failing silently after a dependency update. Logs showed a missing font package. Reinstalled fonts and restarted the rendering service. PDF exports now working. Added health check for the PDF service.,2025-01-11T09:19:13.098390Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0025,2024-06-17T20:11:29Z,Radiant Energy,Growth,Two-factor auth codes not being sent,Several of our users are not receiving their 2FA codes via SMS when trying to log in. We've verified the phone numbers are correct. This has been happening intermittently for the past 3 days. Some users are completely locked out.,bug,critical,SMS delivery issue traced to our Twilio integration — the sending number was flagged as spam by some carriers after a volume spike. Switched to a verified toll-free number and implemented retry logic with fallback to email-based 2FA. All affected users can now log in.,2024-06-19T07:38:40.440330Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0027,2024-06-20T01:07:31Z,Aegis Compliance,Starter,How to import data from our old project management tool,"We're migrating from Asana to Steadfast. We have about 2,000 tasks across 15 projects that need to come over. Is there an import tool? We also need to preserve assignees, due dates, and custom fields if possible. What format does the import expect?",onboarding,high,"Shared our migration guide (KB-1015). Three options: 1) CSV import (manual but flexible), 2) Asana direct import tool (Settings > Import > Asana), 3) API-based migration for full fidelity. Recommended option 2 for their volume. Custom field mapping supported for up to 20 fields. Offered migration assistance session.",2024-06-21T21:00:49.167536Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0030,2024-06-21T06:21:03Z,Delta Compliance,Growth,Dashboard charts not rendering on Firefox 125,"Since updating to Firefox 125, none of the dashboard charts are rendering. Just blank white spaces where the charts should be. Works fine on Chrome. We have about 30 users on Firefox who are affected. Is this a known compatibility issue?",bug,medium,The dashboard export feature was failing on Chrome due to a Content-Security-Policy header blocking the PDF renderer. Updated the CSP to allow the export service domain. Dashboard exports should work on Chrome now.,2024-06-22T13:50:42.248395Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0267,2024-09-24T11:31:55Z,Beacon Analytics,Growth,Requesting audit log for admin actions,"For compliance purposes, we need a detailed audit log of all admin actions — user provisioning, permission changes, data exports, configuration changes. Currently there's no way to see who changed what and when. This is a requirement for our SOC 2 audit.",feature_request,critical,Feature request FR-2931. Audit logging is in development for Enterprise plan (target: end of Q2). Shared our current admin activity report (Settings > Admin > Activity) which covers user management actions but not all configuration changes. Recommended Enterprise upgrade for full audit trail when available.,2024-09-26T05:05:58.599861Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0034,2024-06-22T06:36:17Z,Thunderbolt Media,Starter,Salesforce sync stopped working after update,Our Salesforce integration hasn't synced any data since last Tuesday. We updated Salesforce to their Spring '25 release the day before. No errors showing in the integration dashboard but the last sync timestamp is stuck on March 4. We depend on this for our sales pipeline visibility.,integration,critical,Salesforce Spring '25 changed their OAuth token refresh flow. Our integration was using a deprecated endpoint. Updated the Salesforce connector to use the new token endpoint. Triggered a full resync. All records caught up within 2 hours. Added monitoring alert for sync staleness.,2024-06-22T08:57:29.981425Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0036,2024-06-29T06:48:29Z,Mosaic Creative,Enterprise,Can't drag and drop tasks in board view,"The kanban board view doesn't allow drag and drop anymore. When I try to move a task to a different column, it snaps back to its original position. This works in list view (I can change status there) but the board interaction is broken. Really frustrating.",bug,high,A CSS z-index conflict with the new toolbar overlay was blocking pointer events on the drag layer. Fixed the stacking context. Also found and fixed a race condition where the optimistic UI update was being overwritten by a stale WebSocket message. Fix in v3.14.3.,2024-06-30T05:45:25.917484Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0229,2024-09-10T19:31:17Z,Velvet Commerce,Growth,Need to enable IP allowlisting for our account,"Our security team requires that we restrict access to Steadfast from specific IP ranges only. We need to allowlist our office IPs and VPN ranges. Is this possible? If so, how do we configure it? This is a requirement for our security compliance.",security,high,"IP allowlisting is available on Enterprise plan. Settings: Admin > Security > IP Allowlist. Added customer's IP ranges: 203.0.113.0/24 (office), 198.51.100.0/24 (VPN). Note: ensure VPN IPs are included to avoid lockouts. Sent our IP restriction best practices doc (KB-2001).",2024-09-12T00:24:40.151178Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0048,2024-06-30T23:13:50Z,Keystone Education,Enterprise,How to set up project templates,"We run similar projects repeatedly and want to create templates so we don't have to set up tasks, milestones, and team assignments from scratch each time. How do I create and use project templates?",account,critical,"Walked through project template creation: Projects > Templates > Create Template. Can save: task structure, assignments (as role-based), custom fields, milestones, and workflow automations. Shared our Template Library (12 pre-built templates). Helped create 2 custom templates for their recurring project types.",2024-07-01T14:50:13.172034Z,True,False,True,0.97,A how-to question about setting up project templates is a routine informational request and clearly not critical priority.,claude-sonnet-4-6
TK-0050,2024-07-01T16:02:18Z,Whitecap Marine,Enterprise,Looking for training materials for our end users,"We're rolling out Steadfast to 200 users next month and want to prepare training materials. Do you have any training videos, guides, or a certification program? We'd also like to set up a sandbox environment for people to practice in before going live.",onboarding,low,"Shared resources: 1) Steadfast Academy (academy.steadfast.io) — free self-paced courses, 2) Video library (15 how-to videos), 3) Quick-start PDF guide for end users. Sandbox: enabled a training workspace on their account (Settings > Sandbox > Enable). Valid for 30 days with sample data. Also offered a custom training webinar for their team.",2024-07-02T22:04:29.839909Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0052,2024-07-02T19:25:17Z,Tidewater Shipping,Enterprise,Date picker showing wrong month on first click,"When I click on any date picker field, it opens to January 2020 instead of the current month. I have to manually scroll forward to get to the right month. This happens everywhere — task due dates, filter date ranges, report parameters. Minor but really annoying.",bug,medium,The date picker library (react-datepicker) initialization was using a stale default. Updated the defaultDate prop to use Date.now(). Verified across all 14 date picker instances in the app. Shipped in v3.14.1.,2024-07-03T19:03:19.812077Z,False,False,False,0.0,,claude-sonnet-4-6
TK-0509,2024-12-09T18:30:18Z,Dawnbreak Studios,Enterprise,Request to merge two duplicate accounts,We somehow ended up with two separate Steadfast accounts — one from when our marketing team signed up independently and one from our IT-managed deployment. Can these be merged? We want to consolidate under the IT-managed account and migrate the marketing team's projects.,account,medium,"Account merge is a manual process. Initiated merge request (MERGE-0891). Plan: export marketing account projects, import into IT account, redirect SSO. Timeline: 3-5 business days. Sent pre-merge checklist for customer to verify data before migration.",2024-12-10T16:38:30.867807Z,False,False,False,0.0,,claude-sonnet-4-6
