ticket_id,created_at,customer_name,plan,subject,body,category,priority,resolution,resolved_at
TK-0001,2024-06-01T23:54:35Z,Sapphire Data,Enterprise,HubSpot contact sync has data mapping errors,"Contacts synced from HubSpot are showing up with first and last names swapped. Also, the company field is mapping to the phone number field. This is messing up our CRM view. We've checked the field mapping in settings and it looks correct on our end.",integration,medium,The HubSpot API changed their field key format in their latest update (firstname → first_name). Our mapping was using the old keys. Updated the field mapping configuration and added a validation layer for HubSpot API schema changes. Triggered a resync to correct the swapped fields.,2024-06-02T14:55:13.135632Z
TK-0005,2024-06-08T21:57:19Z,Palladium Ventures,Enterprise,Search results include deleted items,"When I search for contacts in the CRM module, I'm seeing contacts that were deleted weeks ago. They show up in search results but clicking on them gives a 404 error. This is confusing for our sales team who think these are active leads.",bug,low,The search index wasn't being updated on soft-delete operations. The Elasticsearch index still contained documents with deleted_at timestamps. Ran a reindex job and added a filter to exclude soft-deleted records. Search results now clean.,2024-06-10T04:32:12.184731Z
TK-0007,2024-06-09T07:03:57Z,NovaTech Solutions,Starter,Dashboard takes 45+ seconds to load,"Our main dashboard has become extremely slow. It's taking over 45 seconds to load, sometimes timing out completely. This started about a week ago. We have a lot of data (50,000+ tasks, 200 users) but it was fine before. Is something wrong on your end?",performance,high,"Investigated and found the customer's dashboard had 12 widgets, several with unindexed custom field filters. Two issues: 1) A database query was doing a full table scan (added index on custom_field_values), 2) Widget data wasn't being cached. Added Redis caching for dashboard widget data (5-min TTL). Load time reduced from 45s to 3s.",2024-06-09T11:23:32.801366Z
TK-0010,2024-06-10T11:39:40Z,Vanguard Financial,Starter,Calculated fields returning #ERROR,"Custom calculated fields in our project tracker are all showing #ERROR instead of values. These are simple formulas like SUM and AVERAGE across numeric columns. They were working fine until this morning. Affects all projects, not just one.",bug,low,The formula evaluation engine was updated overnight and introduced a type coercion bug — numeric strings weren't being cast before arithmetic. Reverted the engine to the previous version and scheduled a proper fix. All calculated fields restored.,2024-06-10T15:47:12.991716Z
TK-0012,2024-06-15T06:02:31Z,Polaris Navigation,Growth,Transfer account ownership to new admin,Our previous IT admin (jordan.smith@Polaris Navigation) has left the company. I'm the new admin and need full ownership transferred to me (alex.chen@Polaris Navigation). Jordan's account should be deactivated. What documentation do you need for this?,account,high,"Account ownership transfer requires: 1) Written request from a company officer (sent form), 2) Domain verification (confirmed alex.chen@ matches account domain). Transfer completed. Jordan's account deactivated. All API keys regenerated as a security precaution.",2024-06-16T04:57:50.170464Z
TK-0015,2024-06-15T09:02:52Z,BrightPath Analytics,Growth,Google Calendar integration showing duplicate events,Every meeting scheduled in Steadfast is creating two events in Google Calendar. It's been happening for about a week. Deleting one copy deletes both. Our team's calendars are a mess with all these duplicates. We have 50+ meetings a week so this is a significant problem.,integration,low,"Root cause: a retry mechanism in the Google Calendar connector was not checking for idempotency. When the first API call succeeded but timed out, the retry created a duplicate. Added idempotency key to event creation requests. Cleaned up existing duplicates via batch API. Fix deployed in connector v1.9.2.",2024-06-15T16:51:18.382280Z
TK-0018,2024-06-16T04:49:51Z,ClearEdge Financial,Starter,Best practices for setting up workflows,"We want to use Steadfast's workflow automation but need guidance on best practices. We have about 10 standard processes we want to automate — things like approval chains, task escalation, and notification rules. Where should I start? Any templates available?",onboarding,high,"Sent our Workflow Best Practices guide (KB-1030). Recommended starting with their simplest process to learn the builder. Shared 5 workflow templates: approval chain, task escalation, SLA notification, onboarding sequence, and review cycle. Key tip: test workflows in their sandbox workspace first. Offered a workflow design session.",2024-06-16T18:13:37.360628Z
TK-0021,2024-06-16T15:13:58Z,Redwood Pharma,Starter,Can't export reports to PDF anymore,"The PDF export feature on the reports page stopped working about a week ago. When I click 'Export to PDF' nothing happens — no download, no error message. I've tried Chrome and Firefox. Other export formats (CSV, XLSX) work fine. This was working before.",bug,critical,Root cause: the PDF rendering service (wkhtmltopdf) was failing silently after a dependency update. Logs showed a missing font package. Reinstalled fonts and restarted the rendering service. PDF exports now working. Added health check for the PDF service.,2024-06-18T03:55:39.018592Z
TK-0025,2024-06-17T20:11:29Z,Radiant Energy,Growth,Two-factor auth codes not being sent,Several of our users are not receiving their 2FA codes via SMS when trying to log in. We've verified the phone numbers are correct. This has been happening intermittently for the past 3 days. Some users are completely locked out.,bug,critical,SMS delivery issue traced to our Twilio integration — the sending number was flagged as spam by some carriers after a volume spike. Switched to a verified toll-free number and implemented retry logic with fallback to email-based 2FA. All affected users can now log in.,2024-06-19T07:38:40.440330Z
TK-0027,2024-06-20T01:07:31Z,Aegis Compliance,Starter,How to import data from our old project management tool,"We're migrating from Asana to Steadfast. We have about 2,000 tasks across 15 projects that need to come over. Is there an import tool? We also need to preserve assignees, due dates, and custom fields if possible. What format does the import expect?",onboarding,high,"Shared our migration guide (KB-1015). Three options: 1) CSV import (manual but flexible), 2) Asana direct import tool (Settings > Import > Asana), 3) API-based migration for full fidelity. Recommended option 2 for their volume. Custom field mapping supported for up to 20 fields. Offered migration assistance session.",2024-06-21T21:00:49.167536Z
